comment,subjectivity,polarity,sub-check,pol-check
"Special and wonderful meats. The side dishes are also delicious. A good wine list, varied but high prices. Excellent restaurant! Anyone who wants to eat soft, quality meat has to go to Cabana Del Primo.",1,1
"The Lunch Menu always brings excellent dining options, the only bad thing is that it is Monday through Friday. On weekends only the normal menu.",1,1
Amazing experience! Wonderful tasting menu and original and fun presentation! Worth all the success! Felipe-carioca was super friendly and efficient,1,1
"Restaurante Yemanju00e1 is very traditional in Salvador. Faithful to Bahian cuisine, it has an entrance of small, very crunchy acaraju00e9s with a generous portion of vatapu00e1 and dried shrimp. The dishes are well served and the price is fair. The environment is very themed and cozy, in addition to impeccable service. As a dessert I suggest the cocada but order the white and burnt mixture. It&#39;s delicious. It&#39;s worth the experience !!!",1,1
"Yesterday my husband made a reservation to celebrate my birthday. At the first contact, they rudely warned that after 8:30 pm the tables are occupied on a first come, first served basis. They sent us to the first floor without even showing us the way. We sat down and ordered the menu 3 times. After about 20 minutes we received the same and while choosing the dishes I checked the information that they do not accept cards, only checks or cash. An absurdity in the middle of Ipanema and the XXI century. I don&#39;t think it&#39;s a good idea to have at least R $ 500.00 in the bag, at night in Rio de Janeiro to pay for dinner. We got up and decided to leave for another restaurant. The valet returned the car, all dirty with cement, as they parked it at the Metro construction site. We left for Restaurante D&#39;Amici in Leme, where we were well served, where the grouper ravioli with prawns and saffron sauce was divine.",0,1
"For sure, the best restaurant in Maceiu00f3 !!!! Refined atmosphere, delicious food and an excellent wine list! Great for a good dinner for two and the prices are great !!!! It&#39;s really worth it! I recommend!!!!!",1,1
"Wonderful International Shrimp, the place always reminds me of good memories, good food, excellent service and great price. Perfect combination!",1,1
"We stayed in front of Praia and Barraca Landrua. Excellent location, good food, good service, cold beer. The dishes serve 3 people. Fair price, I really enjoyed it.",1,1
"Very pleasant place, refined and frequented by beautiful people! Wonderful souffles, which are the flagship of the house, but offer other culinary wonders. Huge and varied cellar, with over 5,000 wine titles! Wonderful!",1,1
"I was at Castro&#39;s Park Hotel that weekend and ordered room service. It was so surprising that I thought it was fair to write this review. Congratulations to the kitchen team for the quality of the dishes. I ordered a filet sandwich with catupiry which was very well served. However, the highlight was the dessert: Petit Gateau de Buriti. Very tasty, surprising and original! Finally, congratulations to the team that delivers to your room. The gentleman who attended us was extremely friendly. Unfortunately I didn&#39;t get his name, but he was working on the night of 22/09, so here are my thanks.",1,1
"Very good snack bar for those who just want a quick snack. Sandwiches with a wide variety of flavors. Very good natural juices. Price a little salty, but it is worth enjoying a good snack!",1,1
"I have been a customer for years at Velho Rabo and I say that the establishment is the best in the Pompu00e9ia neighborhood. For customers who like the bars in Vila Madalena, try the Old Rabo! He gives 10 to 0 at any bar there. The service is one of the strongest points of the bar / restaurant. Managers, employees and even the owner are very friendly, know how to welcome all types of customers and never forget an order. Honesty also adds a positive point, because if any dish is delayed they will tell you exactly why the delay (for example, because the house is full and with many orders in line). The food is amazing! One of the best picanhas in Su00e3o Paulo&#39;s rechaud and other delicious side dishes and dishes. They know how to innovate too, always keeping the menu updated with new options and maintaining the constant renovation of the establishment. Regarding drinks, there is a great diversity of chopps (always cold) and they are made to the customer&#39;s needs (little collar, normal or too collar) just ask! Very tasty caipirinhas, without the exaggeration of alcohol or sugar as in many places. A 10 bar and restaurant!",1,1
"Nice beachy chic atmosphere, I ate the truffled shrimp risotto, divine Despite the high price, it is worth it. There was so much shrimp on the plate that I almost couldn&#39;t take it. Positive point also for the seafood buffet.",0,1
"Having a drink at the end of the day with this view, it really is something incredible to do in Su00e3o Paulo. Prices are not cheap, but the place is worth it. Sit in a chair by the pool with your drink! I recommend it and have been back several times.",0,1
"Very good restaurant. Variety on the menu, including kids dishes. Excellent service, in particular from the waiter Allan, very attentive. Super recommended for those who are touring in Maceiu00f3.",1,1
"Have a few drinks that is undoubtedly the best in Recife and eat that Mediterranean Octopus a show, another delicious snack is the crunchy shrimp.",0,1
"Space with cordial service, offering good meals at a satisfactory cost. In addition, it is well located.",1,1
"I&#39;ve been here since I was little. I love the gratin capeletti. Capeletti in brodo and parmegiana are great choices, but all foods are excellent. The service is fantastic. Worth knowing.",1,1
"I recommend, we were well attended by all the staff, especially by Alice, a kind and professional girl.",1,1
"Dishes well prepared and served, serve 3 people well, note service 10, the attendant &quot;Ana Paula&quot; and is an example of a professional, Congratulations to all for the harmonization of the dishes.",0,1
