comment,subjectivity,polarity,sub-check,pol-check
"The buffet has many options, but nothing is tasty. The decor is modern, the service is reasonable and the price is good, if you buy a coupon on collective shopping sites.",1,1
"The restaurant has a wide variety of dishes, the staff are attentive and friendly. Pleasant and familiar atmosphere. All dishes are good and delicious, they are always making replacement. I highly recommend it.",1,1
"I was extremely poorly attended by the meter trainee. I complained about my plate, the meat came spoiled, it stank so much that the table next to it felt and asked if it was fish. The restaurant limited itself to saying that it was in the standard and that it was cut Thursday, they did not reverse or replace the dish. The cook was summoned, acknowledged the mistake, apologized and even so the Trainee, who should not be representing the company, refused to take any action and kept looking with a mocking face.",0,-1
First-rate reception. Large and air-conditioned place. Stay upstairs with a view of the bald hill. First world service. We ordered the international prawns with five star quality.,0,1
"Happy New Year with friends from long dates ... We went there, because one of the friends was withthe daughter and needed a playground environment for the daughter to destroy herself, the general was very good!",1,1
"Frutaria Su00e3o Paulo is known in the Moema neighborhood for its fresh, natural and light food. The choice of salads, natural sandwiches and fruit juices is huge. The place is very pleasant with a very charming exterior.",1,1
Wonderful! Food great service excellent!Thank you alvaro.por all affection and care ...,1,1
"I always go to this restaurant, and I recommend it, it has a great variety and the meat is wonderful, I always come with friends and I do not exchange for anything my favorite restaurant, not to mention the service that is first world. Adorooo!",1,1
"Very good restaurant! Several options for all tastes, many options of salads and meats.Their service system is different, it is not self-service. You must choose your options of salad and side dishes, meat and dessert if desired. I suggest knowing the system beforehand and choosing your dish before taking the queue.",0,1
The best Christmas chop. I went with some friends there and had a lot of fun. Very pleasant atmosphere. The cost benefit is very good.,1,1
Amazing experience! Wonderful tasting menu and fresh and fun presentation! Worth all the success!Felipe-carioca was super friendly and efficient,1,1
"Real Arab food, seasoned in a special and different way, I think this is Chef Benon's big secret.",0,1
Shorty you are 10 !! There was only sunshine and good foodShorty you are 10 !! There was only sunshine and good foodShorty you are 10 !! There was only sunshine and good food,1,1
"Very good for meeting friends. There are options for vegan friends and a truck with several good beers (I don't remember the name but it was an ambulance hahaah). Outside, the owners could take their pets there <3",0,1
"Easy location. Ok atmosphere, nothing extraordinary, but ok.But when you look at the menu, it gives a little shiver, even though it doesn't have Italian origins. Picanha Pizza, file with fries, stroganoff, etc ...Can you really assess the quality of the pasta (texture, thickness, etc.), the tomato sauce (fresh, acidity, aroma) or even a restaurant that has it on the menu? We tried.Let's go to basicu00e3o, there will be no pepperoni error + muzarela.When the disc of what they call pizza arrived, what they call pasta was raw and on top it had filling for about 3 pizzas.Anyway, the best definition would be the following: ogre pizza.I won't be back, not recommended. But it has taste and taste for everything, right? Even for stroganoff pizza ...",0,1
"Bright environment, beautiful architecture, good service, delicious food, several sweets accompany the coffee, very delicate in the details, I would definitely return!",1,1
"Julianderson (waiter) very polite, friendly, helped us in choosing the varied menu.Moises and Ivanir completed the team.Great service.Grade 10 for the team.",0,1
"Excellent food, very good service, worth checking out, especially after strolling through the Largo da Ordem fair on Sunday. I indicate.",1,1
"I really loved the place, especially the juices that are delicious and also the vitamins worth visiting the place",1,1
"Really the waiter Alan gave a show of service, congratulations warrior! Very attentive did not miss anything, very attentive and fast, apart from the place that is very refined and cozy.",1,1
"Restaurant with delicious homemade food, very well prepared, I really loved it and recommend it to everyone.",1,1
